pole_joint_pos,pole_joint_vel,cart_joint_pos,cart_joint_vel
-0.9582234621047974,-3.181691884994507,-0.27270251512527466,0.025684779509902
-1.01324462890625,-3.343398332595825,-0.2715953588485718,0.07849089056253433
-1.0710479021072388,-3.5129506587982178,-0.26953738927841187,0.13572651147842407
-1.1317708492279053,-3.690751075744629,-0.26644906401634216,0.1977939009666443
-1.1955592632293701,-3.8772754669189453,-0.26224374771118164,0.2651137411594391
-1.2625691890716553,-4.07310676574707,-0.2568280100822449,0.33808663487434387
-1.3329675197601318,-4.278920650482178,-0.2501015365123749,0.4171063303947449
-1.4069339036941528,-4.495469570159912,-0.2419571876525879,0.5025737285614014
-1.484663486480713,-4.723581790924072,-0.23228086531162262,0.5948808789253235
-1.5663657188415527,-4.9641432762146,-0.22095192968845367,0.694388747215271
-0.06838023662567139,0.0,0.0,0.0
-0.07155048102140427,-0.245516836643219,-0.001918377703987062,-0.1481827050447464
-0.07819699496030807,-0.43636566400527954,-0.005899692885577679,-0.26025670766830444
-0.08750656992197037,-0.5819039344787598,-0.011398987844586372,-0.3417634963989258
-0.0988486260175705,-0.693271279335022,-0.017982400953769684,-0.3995165228843689
-0.11176236718893051,-0.7800518870353699,-0.02532055787742138,-0.43941301107406616
-0.12592150270938873,-0.8495882749557495,-0.03316685929894447,-0.46596476435661316
-0.1411007046699524,-0.9073503613471985,-0.04133668169379234,-0.4825194180011749
-0.15715144574642181,-0.9575339555740356,-0.049692343920469284,-0.4916338324546814
-0.17398269474506378,-1.003246784210205,-0.05813099071383476,-0.49518322944641113
-0.19154565036296844,-1.0467655658721924,-0.06657502800226212,-0.4945189356803894
-0.20982250571250916,-1.089764952659607,-0.0749649927020073,-0.49061065912246704
-0.22881871461868286,-1.1335070133209229,-0.08325457572937012,-0.4841630756855011
-0.24855707585811615,-1.1789425611495972,-0.09140685945749283,-0.47567909955978394
-0.26907363533973694,-1.2267903089523315,-0.09939155727624893,-0.4655078947544098
-0.2904145419597626,-1.277603268623352,-0.10718290507793427,-0.45388612151145935
-0.31263378262519836,-1.3318185806274414,-0.11475811153650284,-0.4409675598144531
-0.3357916474342346,-1.3897901773452759,-0.12209621071815491,-0.42684441804885864
-0.35995376110076904,-1.4518146514892578,-0.1291772425174713,-0.41156208515167236
-0.38519009947776794,-1.5181478261947632,-0.13598157465457916,-0.39512965083122253
-0.4115748107433319,-1.589017391204834,-0.14248931407928467,-0.3775271475315094
-0.4391855299472809,-1.664631724357605,-0.14868004620075226,-0.3587101101875305
-0.4681030511856079,-1.7451788187026978,-0.15453223884105682,-0.33860838413238525
-0.49841129779815674,-1.8308302164077759,-0.16002288460731506,-0.31712716817855835
-0.530197024345398,-1.921751618385315,-0.16512718796730042,-0.29415398836135864
-0.5635496973991394,-2.018106698989868,-0.1698182225227356,-0.26955872774124146
-0.5985616445541382,-2.120055675506592,-0.1740667223930359,-0.24319306015968323
